"scenario","compartment","date","death_calibrated","y_mean","iso3c"
"Maintain Status Quo","cumulative_infections",2020-02-20,FALSE,303,"AFG"
"Relax Interventions 50%","hospital_demand",2020-02-20,FALSE,0.53,"AFG"
"Relax Interventions 50%","ICU_demand",2020-02-20,FALSE,0.24,"AFG"
"Relax Interventions 50%","infections",2020-02-20,FALSE,77.9,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-02-20,FALSE,0.26,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-02-20,FALSE,0.11,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-02-20,FALSE,303,"AFG"
"Additional 50% Reduction","hospital_demand",2020-02-21,FALSE,0.8,"AFG"
"Additional 50% Reduction","ICU_demand",2020-02-21,FALSE,0.36,"AFG"
"Additional 50% Reduction","infections",2020-02-21,FALSE,96.63,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-02-21,FALSE,0.35,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-02-21,FALSE,0.14,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-02-21,FALSE,399.64,"AFG"
"Maintain Status Quo","hospital_demand",2020-02-21,FALSE,0.8,"AFG"
"Maintain Status Quo","ICU_demand",2020-02-21,FALSE,0.36,"AFG"
"Maintain Status Quo","infections",2020-02-21,FALSE,96.63,"AFG"
"Maintain Status Quo","hospital_incidence",2020-02-21,FALSE,0.35,"AFG"
"Maintain Status Quo","ICU_incidence",2020-02-21,FALSE,0.14,"AFG"
"Maintain Status Quo","cumulative_infections",2020-02-21,FALSE,399.64,"AFG"
"Relax Interventions 50%","hospital_demand",2020-02-21,FALSE,0.8,"AFG"
"Relax Interventions 50%","ICU_demand",2020-02-21,FALSE,0.36,"AFG"
"Relax Interventions 50%","infections",2020-02-21,FALSE,96.63,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-02-21,FALSE,0.35,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-02-21,FALSE,0.14,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-02-21,FALSE,399.64,"AFG"
"Additional 50% Reduction","hospital_demand",2020-02-22,FALSE,1.15,"AFG"
"Additional 50% Reduction","ICU_demand",2020-02-22,FALSE,0.5,"AFG"
"Additional 50% Reduction","infections",2020-02-22,FALSE,120.27,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-02-22,FALSE,0.45,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-02-22,FALSE,0.18,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-02-22,FALSE,519.91,"AFG"
"Maintain Status Quo","hospital_demand",2020-02-22,FALSE,1.15,"AFG"
"Maintain Status Quo","ICU_demand",2020-02-22,FALSE,0.5,"AFG"
"Maintain Status Quo","infections",2020-02-22,FALSE,120.27,"AFG"
"Maintain Status Quo","hospital_incidence",2020-02-22,FALSE,0.45,"AFG"
"Maintain Status Quo","ICU_incidence",2020-02-22,FALSE,0.18,"AFG"
"Maintain Status Quo","cumulative_infections",2020-02-22,FALSE,519.91,"AFG"
"Relax Interventions 50%","hospital_demand",2020-02-22,FALSE,1.15,"AFG"
"Relax Interventions 50%","ICU_demand",2020-02-22,FALSE,0.5,"AFG"
"Relax Interventions 50%","infections",2020-02-22,FALSE,120.27,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-02-22,FALSE,0.45,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-02-22,FALSE,0.18,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-02-22,FALSE,519.91,"AFG"
"Additional 50% Reduction","hospital_demand",2020-02-23,FALSE,1.57,"AFG"
"Additional 50% Reduction","ICU_demand",2020-02-23,FALSE,0.68,"AFG"
"Additional 50% Reduction","infections",2020-02-23,FALSE,149.92,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-02-23,FALSE,0.57,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-02-23,FALSE,0.23,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-02-23,FALSE,669.83,"AFG"
"Maintain Status Quo","hospital_demand",2020-02-23,FALSE,1.57,"AFG"
"Maintain Status Quo","ICU_demand",2020-02-23,FALSE,0.68,"AFG"
"Maintain Status Quo","infections",2020-02-23,FALSE,149.92,"AFG"
"Maintain Status Quo","hospital_incidence",2020-02-23,FALSE,0.57,"AFG"
"Maintain Status Quo","ICU_incidence",2020-02-23,FALSE,0.23,"AFG"
"Maintain Status Quo","cumulative_infections",2020-02-23,FALSE,669.83,"AFG"
"Relax Interventions 50%","hospital_demand",2020-02-23,FALSE,1.57,"AFG"
"Relax Interventions 50%","ICU_demand",2020-02-23,FALSE,0.68,"AFG"
"Relax Interventions 50%","infections",2020-02-23,FALSE,149.92,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-02-23,FALSE,0.57,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-02-23,FALSE,0.23,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-02-23,FALSE,669.83,"AFG"
"Additional 50% Reduction","hospital_demand",2020-02-24,FALSE,2.1,"AFG"
"Additional 50% Reduction","ICU_demand",2020-02-24,FALSE,0.91,"AFG"
"Additional 50% Reduction","infections",2020-02-24,FALSE,187.06,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-02-24,FALSE,0.71,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-02-24,FALSE,0.28,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-02-24,FALSE,856.89,"AFG"
"Maintain Status Quo","hospital_demand",2020-02-24,FALSE,2.1,"AFG"
"Maintain Status Quo","ICU_demand",2020-02-24,FALSE,0.91,"AFG"
"Maintain Status Quo","infections",2020-02-24,FALSE,187.06,"AFG"
"Maintain Status Quo","hospital_incidence",2020-02-24,FALSE,0.71,"AFG"
"Maintain Status Quo","ICU_incidence",2020-02-24,FALSE,0.28,"AFG"
"Maintain Status Quo","cumulative_infections",2020-02-24,FALSE,856.89,"AFG"
"Relax Interventions 50%","hospital_demand",2020-02-24,FALSE,2.1,"AFG"
"Relax Interventions 50%","ICU_demand",2020-02-24,FALSE,0.91,"AFG"
"Relax Interventions 50%","infections",2020-02-24,FALSE,187.06,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-02-24,FALSE,0.71,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-02-24,FALSE,0.28,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-02-24,FALSE,856.89,"AFG"
"Additional 50% Reduction","hospital_demand",2020-02-25,FALSE,2.75,"AFG"
"Additional 50% Reduction","ICU_demand",2020-02-25,FALSE,1.18,"AFG"
"Additional 50% Reduction","infections",2020-02-25,FALSE,233.61,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-02-25,FALSE,0.9,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-02-25,FALSE,0.35,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-02-25,FALSE,1090.5,"AFG"
"Maintain Status Quo","hospital_demand",2020-02-25,FALSE,2.75,"AFG"
"Maintain Status Quo","ICU_demand",2020-02-25,FALSE,1.18,"AFG"
"Maintain Status Quo","infections",2020-02-25,FALSE,233.61,"AFG"
"Maintain Status Quo","hospital_incidence",2020-02-25,FALSE,0.9,"AFG"
"Maintain Status Quo","ICU_incidence",2020-02-25,FALSE,0.35,"AFG"
"Maintain Status Quo","cumulative_infections",2020-02-25,FALSE,1090.5,"AFG"
"Relax Interventions 50%","hospital_demand",2020-02-25,FALSE,2.75,"AFG"
"Relax Interventions 50%","ICU_demand",2020-02-25,FALSE,1.18,"AFG"
"Relax Interventions 50%","infections",2020-02-25,FALSE,233.61,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-02-25,FALSE,0.9,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-02-25,FALSE,0.35,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-02-25,FALSE,1090.5,"AFG"
"Additional 50% Reduction","hospital_demand",2020-02-26,FALSE,3.55,"AFG"
"Additional 50% Reduction","ICU_demand",2020-02-26,FALSE,1.51,"AFG"
"Additional 50% Reduction","infections",2020-02-26,FALSE,292,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-02-26,FALSE,1.12,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-02-26,FALSE,0.43,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-02-26,FALSE,1382.5,"AFG"
"Maintain Status Quo","hospital_demand",2020-02-26,FALSE,3.55,"AFG"
"Maintain Status Quo","ICU_demand",2020-02-26,FALSE,1.51,"AFG"
"Maintain Status Quo","infections",2020-02-26,FALSE,292,"AFG"
"Maintain Status Quo","hospital_incidence",2020-02-26,FALSE,1.12,"AFG"
"Maintain Status Quo","ICU_incidence",2020-02-26,FALSE,0.43,"AFG"
"Maintain Status Quo","cumulative_infections",2020-02-26,FALSE,1382.5,"AFG"
"Relax Interventions 50%","hospital_demand",2020-02-26,FALSE,3.55,"AFG"
"Relax Interventions 50%","ICU_demand",2020-02-26,FALSE,1.51,"AFG"
"Relax Interventions 50%","infections",2020-02-26,FALSE,292,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-02-26,FALSE,1.12,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-02-26,FALSE,0.43,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-02-26,FALSE,1382.5,"AFG"
"Additional 50% Reduction","hospital_demand",2020-02-27,FALSE,4.54,"AFG"
"Additional 50% Reduction","ICU_demand",2020-02-27,FALSE,1.92,"AFG"
"Additional 50% Reduction","infections",2020-02-27,FALSE,365.3,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-02-27,FALSE,1.4,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-02-27,FALSE,0.54,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-02-27,FALSE,1747.81,"AFG"
"Maintain Status Quo","hospital_demand",2020-02-27,FALSE,4.54,"AFG"
"Maintain Status Quo","ICU_demand",2020-02-27,FALSE,1.92,"AFG"
"Maintain Status Quo","infections",2020-02-27,FALSE,365.3,"AFG"
"Maintain Status Quo","hospital_incidence",2020-02-27,FALSE,1.4,"AFG"
"Maintain Status Quo","ICU_incidence",2020-02-27,FALSE,0.54,"AFG"
"Maintain Status Quo","cumulative_infections",2020-02-27,FALSE,1747.81,"AFG"
"Relax Interventions 50%","hospital_demand",2020-02-27,FALSE,4.54,"AFG"
"Relax Interventions 50%","ICU_demand",2020-02-27,FALSE,1.92,"AFG"
"Relax Interventions 50%","infections",2020-02-27,FALSE,365.3,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-02-27,FALSE,1.4,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-02-27,FALSE,0.54,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-02-27,FALSE,1747.81,"AFG"
"Additional 50% Reduction","hospital_demand",2020-02-28,FALSE,5.76,"AFG"
"Additional 50% Reduction","ICU_demand",2020-02-28,FALSE,2.42,"AFG"
"Additional 50% Reduction","infections",2020-02-28,FALSE,457.39,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-02-28,FALSE,1.74,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-02-28,FALSE,0.66,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-02-28,FALSE,2205.2,"AFG"
"Maintain Status Quo","hospital_demand",2020-02-28,FALSE,5.76,"AFG"
"Maintain Status Quo","ICU_demand",2020-02-28,FALSE,2.42,"AFG"
"Maintain Status Quo","infections",2020-02-28,FALSE,457.39,"AFG"
"Maintain Status Quo","hospital_incidence",2020-02-28,FALSE,1.74,"AFG"
"Maintain Status Quo","ICU_incidence",2020-02-28,FALSE,0.66,"AFG"
"Maintain Status Quo","cumulative_infections",2020-02-28,FALSE,2205.2,"AFG"
"Relax Interventions 50%","hospital_demand",2020-02-28,FALSE,5.76,"AFG"
"Relax Interventions 50%","ICU_demand",2020-02-28,FALSE,2.42,"AFG"
"Relax Interventions 50%","infections",2020-02-28,FALSE,457.39,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-02-28,FALSE,1.74,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-02-28,FALSE,0.66,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-02-28,FALSE,2205.2,"AFG"
"Additional 50% Reduction","hospital_demand",2020-02-29,FALSE,7.27,"AFG"
"Additional 50% Reduction","ICU_demand",2020-02-29,FALSE,3.03,"AFG"
"Additional 50% Reduction","infections",2020-02-29,FALSE,573.18,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-02-29,FALSE,2.18,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-02-29,FALSE,0.82,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-02-29,FALSE,2778.37,"AFG"
"Maintain Status Quo","hospital_demand",2020-02-29,FALSE,7.27,"AFG"
"Maintain Status Quo","ICU_demand",2020-02-29,FALSE,3.03,"AFG"
"Maintain Status Quo","infections",2020-02-29,FALSE,573.18,"AFG"
"Maintain Status Quo","hospital_incidence",2020-02-29,FALSE,2.18,"AFG"
"Maintain Status Quo","ICU_incidence",2020-02-29,FALSE,0.82,"AFG"
"Maintain Status Quo","cumulative_infections",2020-02-29,FALSE,2778.37,"AFG"
"Relax Interventions 50%","hospital_demand",2020-02-29,FALSE,7.27,"AFG"
"Relax Interventions 50%","ICU_demand",2020-02-29,FALSE,3.03,"AFG"
"Relax Interventions 50%","infections",2020-02-29,FALSE,573.18,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-02-29,FALSE,2.18,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-02-29,FALSE,0.82,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-02-29,FALSE,2778.37,"AFG"
"Additional 50% Reduction","hospital_demand",2020-03-01,FALSE,9.14,"AFG"
"Additional 50% Reduction","ICU_demand",2020-03-01,FALSE,3.79,"AFG"
"Additional 50% Reduction","infections",2020-03-01,FALSE,718.9,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-03-01,FALSE,2.71,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-03-01,FALSE,1.02,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-03-01,FALSE,3497.27,"AFG"
"Maintain Status Quo","hospital_demand",2020-03-01,FALSE,9.14,"AFG"
"Maintain Status Quo","ICU_demand",2020-03-01,FALSE,3.79,"AFG"
"Maintain Status Quo","infections",2020-03-01,FALSE,718.9,"AFG"
"Maintain Status Quo","hospital_incidence",2020-03-01,FALSE,2.71,"AFG"
"Maintain Status Quo","ICU_incidence",2020-03-01,FALSE,1.02,"AFG"
"Maintain Status Quo","cumulative_infections",2020-03-01,FALSE,3497.27,"AFG"
"Relax Interventions 50%","hospital_demand",2020-03-01,FALSE,9.14,"AFG"
"Relax Interventions 50%","ICU_demand",2020-03-01,FALSE,3.79,"AFG"
"Relax Interventions 50%","infections",2020-03-01,FALSE,718.9,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-03-01,FALSE,2.71,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-03-01,FALSE,1.02,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-03-01,FALSE,3497.27,"AFG"
"Additional 50% Reduction","hospital_demand",2020-03-02,FALSE,11.47,"AFG"
"Additional 50% Reduction","ICU_demand",2020-03-02,FALSE,4.72,"AFG"
"Additional 50% Reduction","infections",2020-03-02,FALSE,902.44,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-03-02,FALSE,3.39,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-03-02,FALSE,1.27,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-03-02,FALSE,4399.71,"AFG"
"Maintain Status Quo","hospital_demand",2020-03-02,FALSE,11.47,"AFG"
"Maintain Status Quo","ICU_demand",2020-03-02,FALSE,4.72,"AFG"
"Maintain Status Quo","infections",2020-03-02,FALSE,902.44,"AFG"
"Maintain Status Quo","hospital_incidence",2020-03-02,FALSE,3.39,"AFG"
"Maintain Status Quo","ICU_incidence",2020-03-02,FALSE,1.27,"AFG"
"Maintain Status Quo","cumulative_infections",2020-03-02,FALSE,4399.71,"AFG"
"Relax Interventions 50%","hospital_demand",2020-03-02,FALSE,11.47,"AFG"
"Relax Interventions 50%","ICU_demand",2020-03-02,FALSE,4.72,"AFG"
"Relax Interventions 50%","infections",2020-03-02,FALSE,902.44,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-03-02,FALSE,3.39,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-03-02,FALSE,1.27,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-03-02,FALSE,4399.71,"AFG"
"Additional 50% Reduction","hospital_demand",2020-03-03,FALSE,14.37,"AFG"
"Additional 50% Reduction","ICU_demand",2020-03-03,FALSE,5.88,"AFG"
"Additional 50% Reduction","infections",2020-03-03,FALSE,1133.86,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-03-03,FALSE,4.24,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-03-03,FALSE,1.58,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-03-03,FALSE,5533.57,"AFG"
"Maintain Status Quo","hospital_demand",2020-03-03,FALSE,14.37,"AFG"
"Maintain Status Quo","ICU_demand",2020-03-03,FALSE,5.88,"AFG"
"Maintain Status Quo","infections",2020-03-03,FALSE,1133.86,"AFG"
"Maintain Status Quo","hospital_incidence",2020-03-03,FALSE,4.24,"AFG"
"Maintain Status Quo","ICU_incidence",2020-03-03,FALSE,1.58,"AFG"
"Maintain Status Quo","cumulative_infections",2020-03-03,FALSE,5533.57,"AFG"
"Relax Interventions 50%","hospital_demand",2020-03-03,FALSE,14.37,"AFG"
"Relax Interventions 50%","ICU_demand",2020-03-03,FALSE,5.88,"AFG"
"Relax Interventions 50%","infections",2020-03-03,FALSE,1133.86,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-03-03,FALSE,4.24,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-03-03,FALSE,1.58,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-03-03,FALSE,5533.57,"AFG"
"Additional 50% Reduction","hospital_demand",2020-03-04,FALSE,18,"AFG"
"Additional 50% Reduction","ICU_demand",2020-03-04,FALSE,7.33,"AFG"
"Additional 50% Reduction","infections",2020-03-04,FALSE,1425.92,"AFG"
